timecreated,userid,relateduserid,contextid,contextinstanceid,contextlevel,component,eventname,other,origin
1716201622,4,4,14,2,50,core,"\core\event\user_profile_viewed","{""courseid"":""2"",""courseshortname"":""Learn&Play"",""coursefullname"":""Aventura Tech: Una Aventura Interactiva en Programaci\u00f3n y Electr\u00f3nica!""}",web
1716201607,6,,59,31,70,mod_externalcontent,"\mod_externalcontent\event\course_module_viewed",null,cli
1716201293,6,,59,31,70,mod_externalcontent,"\mod_externalcontent\event\course_module_viewed",null,cli
1716201197,4,4,14,2,50,core,"\core\event\user_profile_viewed","{""courseid"":""2"",""courseshortname"":""Learn&Play"",""coursefullname"":""Aventura Tech: Una Aventura Interactiva en Programaci\u00f3n y Electr\u00f3nica!""}",web
1716201196,4,2,46,4,30,core,"\core\event\notification_viewed",null,web
1716201184,4,4,46,4,30,core,"\core\event\user_profile_viewed",null,web
1716200639,4,,14,2,50,core,"\core\event\course_viewed",null,web
1716200636,4,,14,2,50,core,"\core\event\user_list_viewed","{""courseshortname"":""Learn&Play"",""coursefullname"":""Aventura Tech: Una Aventura Interactiva en Programaci\u00f3n y Electr\u00f3nica!""}",web
1716200635,4,4,14,2,50,gradereport_user,"\gradereport_user\event\grade_report_viewed",null,web
1716200606,4,4,14,2,50,core,"\core\event\user_profile_viewed","{""courseid"":""2"",""courseshortname"":""Learn&Play"",""coursefullname"":""Aventura Tech: Una Aventura Interactiva en Programaci\u00f3n y Electr\u00f3nica!""}",web
1716200603,4,,14,2,50,core,"\core\event\user_list_viewed","{""courseshortname"":""Learn&Play"",""coursefullname"":""Aventura Tech: Una Aventura Interactiva en Programaci\u00f3n y Electr\u00f3nica!""}",web
1716200602,4,4,14,2,50,gradereport_user,"\gradereport_user\event\grade_report_viewed",null,web
1716200566,6,,59,31,70,mod_externalcontent,"\mod_externalcontent\event\course_module_viewed",null,cli
1716200496,4,4,14,2,50,core,"\core\event\competency_user_competency_viewed_in_course","{""competencyid"":1}",web
1716200474,4,4,14,2,50,gradereport_user,"\gradereport_user\event\grade_report_viewed",null,web
1716200453,4,4,14,2,50,gradereport_user,"\gradereport_user\event\grade_report_viewed",null,web
1716200452,4,,14,2,50,core,"\core\event\course_viewed",null,web
1716200443,4,,59,31,70,mod_externalcontent,"\mod_externalcontent\event\course_module_viewed",null,web
1716200439,4,,14,2,50,core,"\core\event\course_viewed",null,web
1716200435,4,4,46,4,30,core,"\core\event\dashboard_viewed",null,web
1716200432,4,4,46,4,30,core,"\core\event\user_profile_viewed",null,web
1716200380,4,,14,2,50,core,"\core\event\course_viewed",null,web
1716200360,4,4,46,4,30,core,"\core\event\dashboard_viewed",null,web
1716198748,3,,25,11,70,mod_quiz,"\mod_quiz\event\course_module_viewed",null,web
1716198695,3,,14,2,50,core,"\core\event\course_viewed",null,web
1716195870,5,,14,2,50,core,"\core\event\course_viewed",null,web
1716195827,5,,59,31,70,mod_externalcontent,"\mod_externalcontent\event\course_module_viewed",null,web
1716195809,5,5,14,2,50,gradereport_user,"\gradereport_user\event\grade_report_viewed",null,web
1716195695,5,,14,2,50,core,"\core\event\course_viewed",null,web
1716195692,5,,28,14,70,mod_url,"\mod_url\event\course_module_viewed",null,web
1716195690,5,,14,2,50,core,"\core\event\course_viewed",null,web
1716195681,5,,27,13,70,mod_url,"\mod_url\event\course_module_viewed",null,web
1716195450,5,,14,2,50,core,"\core\event\course_viewed",null,web
1716195442,5,,40,26,70,mod_quiz,"\mod_quiz\event\course_module_viewed",null,web
1716195314,5,,14,2,50,core,"\core\event\course_viewed",null,web
1716195295,5,5,54,5,30,core,"\core\event\user_profile_viewed",null,web
1716195192,5,,2,1,50,core,"\core\event\course_viewed",null,web
1716195183,5,5,54,5,30,core,"\core\event\dashboard_viewed",null,web
1716195180,5,,2,1,50,core,"\core\event\course_viewed",null,web
1716195135,5,5,54,5,30,core,"\core\event\dashboard_viewed",null,web
1716192316,6,,59,31,70,mod_externalcontent,"\mod_externalcontent\event\course_module_viewed",null,cli
1716191756,3,,14,2,50,core,"\core\event\course_viewed",null,web
1716191752,3,,2,1,50,core,"\core\event\course_viewed",null,web
1716191736,3,3,45,3,30,core,"\core\event\dashboard_viewed",null,web
1716190468,6,,59,31,70,mod_externalcontent,"\mod_externalcontent\event\course_module_viewed",null,web
1716190337,5,,59,31,70,mod_externalcontent,"\mod_externalcontent\event\course_module_viewed",null,web
1716190335,5,,14,2,50,core,"\core\event\section_viewed",null,web
1716190330,5,,14,2,50,core,"\core\event\course_viewed",null,web
